@RELATION nfl

@ATTRIBUTE Year real
@ATTRIBUTE Week real
@ATTRIBUTE homeTotalYds real
@ATTRIBUTE homePassYds real
@ATTRIBUTE homeRushYds real
@ATTRIBUTE homeFirstDowns real
@ATTRIBUTE homeTurnovers real
@ATTRIBUTE homePunts real
@ATTRIBUTE homePosTime real
@ATTRIBUTE awayTotalYds real
@ATTRIBUTE awayPassYds real
@ATTRIBUTE awayRushYds real
@ATTRIBUTE awayFirstDowns real
@ATTRIBUTE awayTurnovers real
@ATTRIBUTE awayPunts real
@ATTRIBUTE awayPosTime real
@ATTRIBUTE class {H,A}

@Data
2010,2,278,159,119,16,3,5,1751,273,178,95,14,0,6,1849,A
2010,2,369,304,65,23,0,4,2247,339,230,109,17,4,2,1353,H
2010,2,404,231,173,25,2,3,2209,210,135,75,16,1,7,1391,H
2010,2,336,200,136,23,0,4,1952,291,239,52,20,3,3,1648,H
2010,2,253,159,94,14,0,8,2056,259,150,109,14,4,7,1544,H
2010,2,477,326,151,25,3,2,1776,350,279,71,20,6,0,1824,H
2010,2,410,250,160,24,1,5,2106,257,137,120,13,3,6,1494,H
2010,2,417,275,142,24,4,3,1640,287,237,50,17,0,6,1960,A
2010,3,471,364,107,26,3,0,1898,271,110,161,17,0,5,1702,A
2010,3,267,180,87,17,4,6,1418,305,185,120,21,2,6,2182,A
2010,3,303,228,75,18,2,5,1986,387,186,201,17,2,1,1614,A
2010,3,445,245,200,25,1,3,1932,374,240,134,19,2,1,1668,H
2010,3,365,256,109,19,0,3,1808,304,131,173,18,0,6,1792,H
2010,3,368,185,183,21,3,5,1912,295,232,63,17,3,7,1688,H
2010,3,398,355,43,20,3,2,1635,417,215,202,25,1,4,2750,A
2010,3,365,232,133,24,2,3,2090,349,233,116,15,2,5,1510,H
2010,3,340,216,124,24,3,3,1660,385,284,101,21,0,2,1940,A
2010,3,457,250,207,21,1,4,2030,251,208,43,11,1,8,1570,H
2010,3,184,54,130,16,1,8,1973,373,267,106,15,0,7,1627,A
2010,3,519,472,47,23,2,3,1792,365,325,40,18,0,6,1808,A
2010,3,227,108,119,18,3,6,1622,364,231,133,20,1,5,1978,H
2010,3,271,203,68,13,2,5,1436,518,429,89,27,5,5,2164,H
2010,3,436,352,84,24,1,4,1968,402,256,146,20,0,4,1632,A
2010,3,276,199,77,18,1,2,1451,379,316,63,21,2,3,2149,H
2010,4,223,109,114,12,2,9,1171,444,171,273,25,0,6,2429,A
2010,4,295,179,116,21,1,4,1846,413,346,67,21,2,3,1754,H
2010,4,210,126,84,14,1,5,1769,320,250,70,22,2,3,1831,A
2010,4,288,167,121,13,2,6,1482,327,308,19,22,1,5,2118,A
2010,4,261,169,92,16,4,3,1343,431,308,123,24,3,2,2257,H
2010,4,357,259,98,23,2,5,1759,262,181,81,17,3,5,1841,H
2010,4,383,262,121,27,2,3,2302,251,133,118,10,1,6,1298,H
2010,4,349,261,88,19,1,7,1970,257,193,64,15,2,7,1630,H
2010,4,337,163,174,20,0,4,1786,406,348,58,28,2,2,1814,H
2010,4,363,245,118,24,3,5,1831,441,192,249,21,0,6,1769,A
2010,4,353,243,110,21,2,5,1977,293,124,169,16,1,5,1623,A
2010,4,419,239,180,23,1,1,2098,124,77,47,10,3,5,1502,H
2010,4,372,183,189,18,3,7,2005,110,51,59,6,3,9,1595,H
2010,4,400,305,95,23,4,2,1937,265,146,119,19,0,3,1663,A
2010,5,306,196,110,17,0,4,1539,381,165,216,21,3,0,2061,A
2010,5,415,182,233,28,0,4,2177,346,307,39,16,1,7,1423,H
2010,5,341,244,97,23,1,2,2065,261,148,113,16,1,4,1535,H
2010,5,373,322,51,21,1,8,2054,427,270,157,17,2,6,1960,H
2010,5,322,233,89,20,0,3,1604,341,213,128,23,3,4,1996,H
2010,5,147,62,85,8,3,9,1781,247,29,218,13,4,6,1819,A
2010,5,358,209,149,20,4,6,1775,391,266,125,21,3,6,1825,A
2010,5,269,221,48,18,3,5,1794,338,173,165,17,1,4,1806,A
2010,5,195,171,24,11,2,7,1269,414,297,117,26,2,4,2331,A
2010,5,194,153,41,12,1,5,1799,358,273,85,19,4,3,1801,H
2010,5,511,370,141,25,3,2,2204,321,163,158,17,0,5,1396,A
2010,5,279,168,111,14,0,4,1634,506,415,91,29,3,3,1966,H
2010,5,364,290,74,21,5,3,1752,352,227,125,17,1,4,1848,A
2010,5,328,173,155,20,0,7,2035,336,240,96,16,3,7,1565,H
2010,6,359,283,76,16,1,5,1683,381,231,150,26,1,4,2276,A
2010,6,300,183,117,20,0,6,2003,287,208,79,22,1,6,1597,H
2010,6,394,267,127,23,2,6,1970,377,278,99,21,0,9,2414,H
2010,6,378,257,121,22,1,6,1916,328,258,70,17,3,5,1684,H
2010,6,421,289,132,23,0,4,1592,417,189,228,25,0,4,2008,H
2010,6,334,167,167,24,1,6,1962,366,302,64,16,3,5,1638,H
2010,6,474,320,154,23,1,2,2043,293,228,65,20,2,6,1557,H
2010,6,307,246,61,15,0,8,1537,353,242,111,20,0,10,2063,A
2010,6,277,235,42,21,1,3,1711,475,263,212,27,1,1,1889,A
2010,6,346,201,145,21,2,6,1823,319,190,129,17,3,5,1777,A
2010,6,349,191,158,17,0,8,2001,179,69,110,10,2,6,1599,H
2010,6,188,93,95,14,1,5,1670,314,220,94,16,2,5,1930,H
