@RELATION nflpredictor

@ATTRIBUTE homeTotalYdsLast3 real
@ATTRIBUTE homeTotalYdsSeason real
@ATTRIBUTE homePassYdsLast3 real
@ATTRIBUTE homePassYdsSeason real
@ATTRIBUTE homeRushYdsLast3 real
@ATTRIBUTE homeRushYdsSeason real
@ATTRIBUTE homeFirstDownsLast3 real
@ATTRIBUTE homeFirstDownsSeaon real
@ATTRIBUTE homeTurnoversLast3 real
@ATTRIBUTE homeTurnoversSeason real
@ATTRIBUTE homePuntsLast3 real
@ATTRIBUTE homePuntsSeason real
@ATTRIBUTE awayTotalYdsLast3 real
@ATTRIBUTE awayTotalYdsSeason real
@ATTRIBUTE awayPassYdsLast3 real
@ATTRIBUTE awayPassYdsSeason real
@ATTRIBUTE awayRushYdsLast3 real
@ATTRIBUTE awayRushYdsSeason real
@ATTRIBUTE awayFirstDownsLast3 real
@ATTRIBUTE awayFirstDownsSeason real
@ATTRIBUTE awayTurnoversLast3 real
@ATTRIBUTE awayTurnoversSeason real
@ATTRIBUTE awayPuntsLast3 real
@ATTRIBUTE awayPuntsSeason real
@ATTRIBUTE winner {H,A}

@Data
351.666666667, 351.666666667, 200.666666667, 200.666666667, 151.0, 151.0, 18.0, 18.0, 2.66666666667, 2.66666666667, 5.66666666667, 5.66666666667, 332.666666667, 332.666666667, 202.666666667, 202.666666667, 130.0, 130.0, 18.0, 18.0, 1.33333333333, 1.33333333333, 4.0, 4.0, A
264.333333333, 264.333333333, 164.0, 164.0, 100.333333333, 100.333333333, 15.6666666667, 15.6666666667, 1.0, 1.0, 6.33333333333, 6.33333333333, 391.666666667, 391.666666667, 249.666666667, 249.666666667, 142.0, 142.0, 21.3333333333, 21.3333333333, 0.666666666667, 0.666666666667, 3.33333333333, 3.33333333333, A
391.666666667, 391.666666667, 249.666666667, 249.666666667, 142.0, 142.0, 21.3333333333, 21.3333333333, 0.666666666667, 0.666666666667, 3.33333333333, 3.33333333333, 264.333333333, 264.333333333, 164.0, 164.0, 100.333333333, 100.333333333, 15.6666666667, 15.6666666667, 1.0, 1.0, 6.33333333333, 6.33333333333, H
395.0, 395.0, 287.0, 287.0, 108.0, 108.0, 24.6666666667, 24.6666666667, 0.666666666667, 0.666666666667, 3.0, 3.0, 430.333333333, 430.333333333, 273.666666667, 273.666666667, 156.666666667, 156.666666667, 27.3333333333, 27.3333333333, 1.0, 1.0, 3.66666666667, 3.66666666667, H
430.333333333, 430.333333333, 273.666666667, 273.666666667, 156.666666667, 156.666666667, 27.3333333333, 27.3333333333, 1.0, 1.0, 3.66666666667, 3.66666666667, 395.0, 395.0, 287.0, 287.0, 108.0, 108.0, 24.6666666667, 24.6666666667, 0.666666666667, 0.666666666667, 3.0, 3.0, A
341.333333333, 341.333333333, 249.666666667, 249.666666667, 91.6666666667, 91.6666666667, 19.3333333333, 19.3333333333, 1.33333333333, 1.33333333333, 4.0, 4.0, 296.333333333, 296.333333333, 210.0, 210.0, 86.3333333333, 86.3333333333, 16.6666666667, 16.6666666667, 1.0, 1.0, 6.0, 6.0, H
296.333333333, 296.333333333, 210.0, 210.0, 86.3333333333, 86.3333333333, 16.6666666667, 16.6666666667, 1.0, 1.0, 6.0, 6.0, 341.333333333, 341.333333333, 249.666666667, 249.666666667, 91.6666666667, 91.6666666667, 19.3333333333, 19.3333333333, 1.33333333333, 1.33333333333, 4.0, 4.0, A
317.0, 317.0, 155.666666667, 155.666666667, 161.333333333, 161.333333333, 20.6666666667, 20.6666666667, 2.33333333333, 2.33333333333, 3.33333333333, 3.33333333333, 319.0, 319.0, 186.666666667, 186.666666667, 132.333333333, 132.333333333, 18.3333333333, 18.3333333333, 1.66666666667, 1.66666666667, 5.33333333333, 5.33333333333, H
319.0, 319.0, 186.666666667, 186.666666667, 132.333333333, 132.333333333, 18.3333333333, 18.3333333333, 1.66666666667, 1.66666666667, 5.33333333333, 5.33333333333, 317.0, 317.0, 155.666666667, 155.666666667, 161.333333333, 161.333333333, 20.6666666667, 20.6666666667, 2.33333333333, 2.33333333333, 3.33333333333, 3.33333333333, A
438.0, 438.0, 267.333333333, 267.333333333, 170.666666667, 170.666666667, 24.0, 24.0, 1.66666666667, 1.66666666667, 3.33333333333, 3.33333333333, 315.0, 315.0, 185.0, 185.0, 130.0, 130.0, 16.3333333333, 16.3333333333, 1.33333333333, 1.33333333333, 6.0, 6.0, H
315.0, 315.0, 185.0, 185.0, 130.0, 130.0, 16.3333333333, 16.3333333333, 1.33333333333, 1.33333333333, 6.0, 6.0, 438.0, 438.0, 267.333333333, 267.333333333, 170.666666667, 170.666666667, 24.0, 24.0, 1.66666666667, 1.66666666667, 3.33333333333, 3.33333333333, A
374.333333333, 374.333333333, 215.666666667, 215.666666667, 158.666666667, 158.666666667, 18.6666666667, 18.6666666667, 0.666666666667, 0.666666666667, 4.0, 4.0, 429.666666667, 429.666666667, 236.0, 236.0, 193.666666667, 193.666666667, 21.6666666667, 21.6666666667, 1.33333333333, 1.33333333333, 4.33333333333, 4.33333333333, H
429.666666667, 429.666666667, 236.0, 236.0, 193.666666667, 193.666666667, 21.6666666667, 21.6666666667, 1.33333333333, 1.33333333333, 4.33333333333, 4.33333333333, 374.333333333, 374.333333333, 215.666666667, 215.666666667, 158.666666667, 158.666666667, 18.6666666667, 18.6666666667, 0.666666666667, 0.666666666667, 4.0, 4.0, A
276.0, 276.0, 164.333333333, 164.333333333, 111.666666667, 111.666666667, 14.0, 14.0, 0.666666666667, 0.666666666667, 7.66666666667, 7.66666666667, 276.0, 276.0, 158.666666667, 158.666666667, 117.333333333, 117.333333333, 16.3333333333, 16.3333333333, 1.66666666667, 1.66666666667, 5.33333333333, 5.33333333333, H
276.0, 276.0, 158.666666667, 158.666666667, 117.333333333, 117.333333333, 16.3333333333, 16.3333333333, 1.66666666667, 1.66666666667, 5.33333333333, 5.33333333333, 276.0, 276.0, 164.333333333, 164.333333333, 111.666666667, 111.666666667, 14.0, 14.0, 0.666666666667, 0.666666666667, 7.66666666667, 7.66666666667, A
346.0, 346.0, 265.0, 265.0, 81.0, 81.0, 19.0, 19.0, 2.0, 2.0, 4.0, 4.0, 382.0, 382.0, 315.666666667, 315.666666667, 66.3333333333, 66.3333333333, 19.3333333333, 19.3333333333, 1.66666666667, 1.66666666667, 3.0, 3.0, H
382.0, 382.0, 315.666666667, 315.666666667, 66.3333333333, 66.3333333333, 19.3333333333, 19.3333333333, 1.66666666667, 1.66666666667, 3.0, 3.0, 346.0, 346.0, 265.0, 265.0, 81.0, 81.0, 19.0, 19.0, 2.0, 2.0, 4.0, 4.0, A
317.333333333, 317.333333333, 173.666666667, 173.666666667, 143.666666667, 143.666666667, 18.6666666667, 18.6666666667, 0.666666666667, 0.666666666667, 5.33333333333, 5.33333333333, 313.0, 313.0, 207.333333333, 207.333333333, 105.666666667, 105.666666667, 19.3333333333, 19.3333333333, 0.333333333333, 0.333333333333, 5.33333333333, 5.33333333333, H
313.0, 313.0, 207.333333333, 207.333333333, 105.666666667, 105.666666667, 19.3333333333, 19.3333333333, 0.333333333333, 0.333333333333, 5.33333333333, 5.33333333333, 317.333333333, 317.333333333, 173.666666667, 173.666666667, 143.666666667, 143.666666667, 18.6666666667, 18.6666666667, 0.666666666667, 0.666666666667, 5.33333333333, 5.33333333333, A
384.333333333, 413.5, 255.0, 267.0, 129.333333333, 146.5, 24.6666666667, 26.5, 1.33333333333, 1.25, 3.66666666667, 3.5, 322.333333333, 318.5, 187.333333333, 195.75, 135.0, 122.75, 19.6666666667, 18.75, 1.33333333333, 1.5, 6.0, 6.25, A
322.333333333, 318.5, 187.333333333, 195.75, 135.0, 122.75, 19.6666666667, 18.75, 1.33333333333, 1.5, 6.0, 6.25, 384.333333333, 413.5, 255.0, 267.0, 129.333333333, 146.5, 24.6666666667, 26.5, 1.33333333333, 1.25, 3.66666666667, 3.5, H
295.666666667, 290.75, 178.0, 180.0, 117.666666667, 110.75, 16.0, 16.25, 2.33333333333, 2.0, 5.66666666667, 5.25, 260.333333333, 262.25, 170.0, 172.25, 90.3333333333, 90.0, 14.6666666667, 15.25, 3.0, 2.75, 6.66666666667, 6.25, A
260.333333333, 262.25, 170.0, 172.25, 90.3333333333, 90.0, 14.6666666667, 15.25, 3.0, 2.75, 6.66666666667, 6.25, 295.666666667, 290.75, 178.0, 180.0, 117.666666667, 110.75, 16.0, 16.25, 2.33333333333, 2.0, 5.66666666667, 5.25, H
293.333333333, 293.333333333, 192.333333333, 192.333333333, 101.0, 101.0, 17.6666666667, 17.6666666667, 4.0, 4.0, 4.0, 4.0, 343.0, 325.25, 238.0, 225.25, 105.0, 100.0, 19.0, 18.0, 2.0, 2.0, 3.66666666667, 4.0, H
343.0, 325.25, 238.0, 225.25, 105.0, 100.0, 19.0, 18.0, 2.0, 2.0, 3.66666666667, 4.0, 293.333333333, 293.333333333, 192.333333333, 192.333333333, 101.0, 101.0, 17.6666666667, 17.6666666667, 4.0, 4.0, 4.0, 4.0, A
348.0, 318.75, 223.666666667, 217.25, 124.333333333, 101.5, 21.6666666667, 19.75, 1.66666666667, 2.0, 5.0, 5.0, 392.666666667, 383.75, 264.666666667, 278.75, 128.0, 105.0, 23.3333333333, 22.25, 1.66666666667, 2.0, 2.33333333333, 3.5, A
