@RELATION nflpredictor

@ATTRIBUTE homeTotalYdsLast3 real
@ATTRIBUTE homeTotalYdsSeason real
@ATTRIBUTE homePassYdsLast3 real
@ATTRIBUTE homePassYdsSeason real
@ATTRIBUTE homeRushYdsLast3 real
@ATTRIBUTE homeRushYdsSeason real
@ATTRIBUTE homeFirstDownsLast3 real
@ATTRIBUTE homeFirstDownsSeaon real
@ATTRIBUTE homeTurnoversLast3 real
@ATTRIBUTE homeTurnoversSeason real
@ATTRIBUTE homePuntsLast3 real
@ATTRIBUTE homePuntsSeason real
@ATTRIBUTE homePosTimeLast3 real
@ATTRIBUTE homePosTimeSeason real
@ATTRIBUTE awayTotalYdsLast3 real
@ATTRIBUTE awayTotalYdsSeason real
@ATTRIBUTE awayPassYdsLast3 real
@ATTRIBUTE awayPassYdsSeason real
@ATTRIBUTE awayRushYdsLast3 real
@ATTRIBUTE awayRushYdsSeason real
@ATTRIBUTE awayFirstDownsLast3 real
@ATTRIBUTE awayFirstDownsSeason real
@ATTRIBUTE awayTurnoversLast3 real
@ATTRIBUTE awayTurnoversSeason real
@ATTRIBUTE awayPuntsLast3 real
@ATTRIBUTE awayPuntsSeason real
@ATTRIBUTE awayPosTimeLast3 real
@ATTRIBUTE awayPosTimeSeason real
@ATTRIBUTE winner {H,A}

@Data
295.666666667, 290.75, 178.0, 180.0, 117.666666667, 110.75, 16.0, 16.25, 2.33333333333, 2.0, 5.66666666667, 5.25, 1576.66666667, 1525.5, 260.333333333, 262.25, 170.0, 172.25, 90.3333333333, 90.0, 14.6666666667, 15.25, 3.0, 2.75, 6.66666666667, 6.25, 1897.66666667, 1822.75, A
293.333333333, 293.333333333, 192.333333333, 192.333333333, 101.0, 101.0, 17.6666666667, 17.6666666667, 4.0, 4.0, 4.0, 4.0, 1595.66666667, 1595.66666667, 343.0, 325.25, 238.0, 225.25, 105.0, 100.0, 19.0, 18.0, 2.0, 2.0, 3.66666666667, 4.0, 1740.33333333, 1663.25, H
348.0, 318.75, 223.666666667, 217.25, 124.333333333, 101.5, 21.6666666667, 19.75, 1.66666666667, 2.0, 5.0, 5.0, 2074.33333333, 1908.25, 392.666666667, 383.75, 264.666666667, 278.75, 128.0, 105.0, 23.3333333333, 22.25, 1.66666666667, 2.0, 2.33333333333, 3.5, 2109.33333333, 2124.75, A
266.0, 246.5, 140.333333333, 145.0, 125.666666667, 101.5, 17.0, 15.5, 1.33333333333, 1.0, 7.0, 6.5, 1945.66666667, 1762.0, 380.666666667, 401.0, 201.666666667, 237.25, 179.0, 163.75, 22.3333333333, 21.25, 2.0, 1.5, 5.0, 4.75, 1907.33333333, 1827.5, A
417.666666667, 401.0, 258.0, 255.5, 159.666666667, 145.5, 22.3333333333, 21.25, 0.666666666667, 1.0, 4.33333333333, 3.5, 2184.66666667, 2180.5, 156.0, 208.5, 87.0, 119.75, 69.0, 88.75, 9.33333333333, 11.75, 2.0, 2.25, 6.33333333333, 5.75, 1417.66666667, 1537.5, H
383.333333333, 383.333333333, 262.333333333, 262.333333333, 121.0, 121.0, 20.3333333333, 20.3333333333, 2.33333333333, 2.33333333333, 4.0, 4.0, 1835.33333333, 1835.33333333, 222.666666667, 279.5, 151.333333333, 182.5, 71.3333333333, 97.0, 12.0, 15.5, 1.66666666667, 1.25, 6.0, 5.75, 1557.66666667, 1671.25, H
252.666666667, 251.25, 129.333333333, 139.5, 123.333333333, 111.75, 15.0, 14.5, 2.33333333333, 2.0, 5.33333333333, 6.0, 1692.0, 1682.25, 325.333333333, 321.5, 235.666666667, 198.0, 89.6666666667, 123.5, 19.6666666667, 19.5, 1.0, 0.75, 5.0, 5.25, 1869.33333333, 1902.5, A
284.333333333, 264.0, 147.666666667, 156.25, 136.666666667, 107.75, 14.0, 13.75, 0.333333333333, 0.5, 7.33333333333, 7.5, 1851.33333333, 1862.75, 303.0, 303.0, 210.666666667, 210.666666667, 92.3333333333, 92.3333333333, 18.3333333333, 18.3333333333, 1.0, 1.0, 4.0, 4.0, 1652.0, 1652.0, A
335.0, 335.0, 274.333333333, 274.333333333, 60.6666666667, 60.6666666667, 20.0, 20.0, 2.33333333333, 2.33333333333, 5.0, 5.0, 1760.66666667, 1760.66666667, 382.0, 332.25, 284.0, 249.25, 98.0, 83.0, 19.3333333333, 17.25, 1.33333333333, 1.5, 5.66666666667, 5.75, 1948.0, 1779.5, H
386.0, 365.0, 213.666666667, 217.0, 172.333333333, 148.0, 21.3333333333, 18.5, 1.0, 0.75, 3.33333333333, 4.5, 1917.33333333, 1836.25, 354.333333333, 376.0, 242.333333333, 273.75, 112.0, 102.25, 23.6666666667, 24.75, 0.666666666667, 0.75, 3.66666666667, 3.0, 2111.66666667, 2140.75, H
